sensor_reading_id,machine_id,recorded_at,temperature_celsius,vibration_mm_s,pressure_psi
SENSOR-00002920,MCH-002-02-01,2026-01-07 12:00:00,78.49,2.748,94.37
SENSOR-00002921,MCH-002-02-01,2026-01-07 16:00:00,79.47,2.68,96.11
SENSOR-00002922,MCH-002-02-01,2026-01-07 20:00:00,77.47,2.626,105.79
SENSOR-00002923,MCH-002-02-01,2026-01-08 00:00:00,79.09,2.97,102.8
SENSOR-00002924,MCH-002-02-01,2026-01-08 04:00:00,85.14,3.136,93.86
SENSOR-00002925,MCH-002-02-01,2026-01-08 08:00:00,74.02,2.252,101.9
SENSOR-00002926,MCH-002-02-01,2026-01-08 12:00:00,76.02,2.581,99.35
SENSOR-00002927,MCH-002-02-01,2026-01-08 16:00:00,80.33,2.332,96.22
SENSOR-00002928,MCH-002-02-01,2026-01-08 20:00:00,78.8,3.003,99.92
SENSOR-00002929,MCH-002-02-01,2026-01-09 00:00:00,79.54,2.642,106.67
SENSOR-00002930,MCH-002-02-01,2026-01-09 04:00:00,71.98,2.744,100.52
SENSOR-00002931,MCH-002-02-01,2026-01-09 08:00:00,74.67,2.728,102.31
SENSOR-00002932,MCH-002-02-01,2026-01-09 12:00:00,79.18,3.05,93.47
SENSOR-00002933,MCH-002-02-01,2026-01-09 16:00:00,75.43,3.073,102.74
SENSOR-00002934,MCH-002-02-01,2026-01-09 20:00:00,80.96,3.012,94.25
SENSOR-00002935,MCH-002-02-01,2026-01-10 00:00:00,84.81,2.939,97.52
SENSOR-00002936,MCH-002-02-01,2026-01-10 04:00:00,78.19,2.833,98.91
SENSOR-00002937,MCH-002-02-01,2026-01-10 08:00:00,77.46,2.713,96.8
SENSOR-00002938,MCH-002-02-01,2026-01-10 12:00:00,69.87,2.764,94.03
SENSOR-00002939,MCH-002-02-01,2026-01-10 16:00:00,74.82,2.261,95.05
SENSOR-00002940,MCH-002-02-01,2026-01-10 20:00:00,80.5,2.648,99.22
SENSOR-00002941,MCH-002-02-01,2026-01-11 00:00:00,75.77,2.679,97.67
SENSOR-00002942,MCH-002-02-01,2026-01-11 04:00:00,74.58,2.721,107.29
SENSOR-00002943,MCH-002-02-01,2026-01-11 08:00:00,76.84,2.703,96.06
SENSOR-00002944,MCH-002-02-01,2026-01-11 12:00:00,83.77,2.922,102.42
SENSOR-00002945,MCH-002-02-01,2026-01-11 16:00:00,84.24,2.597,99.09
SENSOR-00002946,MCH-002-02-01,2026-01-11 20:00:00,85.64,2.862,93.34
SENSOR-00002947,MCH-002-02-01,2026-01-12 00:00:00,81.1,3.078,101.24
SENSOR-00002948,MCH-002-02-01,2026-01-12 04:00:00,78.89,2.991,106.73
SENSOR-00002949,MCH-002-02-01,2026-01-12 08:00:00,82.46,2.755,101.3
SENSOR-00002950,MCH-002-02-01,2026-01-12 12:00:00,79.82,2.708,106.5
SENSOR-00002951,MCH-002-02-01,2026-01-12 16:00:00,75.8,2.992,99.62
SENSOR-00002952,MCH-002-02-01,2026-01-12 20:00:00,72.88,2.657,98.36
SENSOR-00002953,MCH-002-02-01,2026-01-13 00:00:00,79.32,2.66,95.62
SENSOR-00002954,MCH-002-02-01,2026-01-13 04:00:00,79.31,2.594,99.27
SENSOR-00002955,MCH-002-02-01,2026-01-13 08:00:00,80.25,3.022,97.45
SENSOR-00002956,MCH-002-02-01,2026-01-13 12:00:00,77.45,2.512,97.51
SENSOR-00002957,MCH-002-02-01,2026-01-13 16:00:00,76.42,2.655,101.76
SENSOR-00002958,MCH-002-02-01,2026-01-13 20:00:00,80.08,2.44,103.88
SENSOR-00002959,MCH-002-02-01,2026-01-14 00:00:00,77.45,2.197,101.58
SENSOR-00002960,MCH-002-02-01,2026-01-14 04:00:00,77.3,2.898,101.45
SENSOR-00002961,MCH-002-02-01,2026-01-14 08:00:00,77.41,2.96,100.61
SENSOR-00002962,MCH-002-02-01,2026-01-14 12:00:00,79.45,2.669,105.05
SENSOR-00002963,MCH-002-02-01,2026-01-14 16:00:00,75.94,2.623,96.29
SENSOR-00002964,MCH-002-02-01,2026-01-14 20:00:00,81.7,2.558,98.59
SENSOR-00002965,MCH-002-02-01,2026-01-15 00:00:00,85.03,2.663,103.9
SENSOR-00002966,MCH-002-02-01,2026-01-15 04:00:00,78.7,3.104,98.63
SENSOR-00002967,MCH-002-02-01,2026-01-15 08:00:00,69.34,2.684,105.12
SENSOR-00002968,MCH-002-02-01,2026-01-15 12:00:00,80.94,2.575,100.99
SENSOR-00002969,MCH-002-02-01,2026-01-15 16:00:00,82.68,2.682,107.88
SENSOR-00002970,MCH-002-02-01,2026-01-15 20:00:00,76.73,2.954,102.29
SENSOR-00002971,MCH-002-02-01,2026-01-16 00:00:00,78.54,2.794,98.77
SENSOR-00002972,MCH-002-02-01,2026-01-16 04:00:00,76.43,2.643,98.61
SENSOR-00002973,MCH-002-02-01,2026-01-16 08:00:00,87.52,2.932,97.09
SENSOR-00002974,MCH-002-02-01,2026-01-16 12:00:00,86.94,2.596,100.09
SENSOR-00002975,MCH-002-02-01,2026-01-16 16:00:00,82.39,2.211,99.29
SENSOR-00002976,MCH-002-02-01,2026-01-16 20:00:00,76.5,2.755,101.11
SENSOR-00002977,MCH-002-02-01,2026-01-17 00:00:00,76.74,2.227,95.7
SENSOR-00002978,MCH-002-02-01,2026-01-17 04:00:00,76.93,2.677,98.33
SENSOR-00002979,MCH-002-02-01,2026-01-17 08:00:00,80.2,2.562,97.26
SENSOR-00002980,MCH-002-02-01,2026-01-17 12:00:00,81.25,3.046,96.68
SENSOR-00002981,MCH-002-02-01,2026-01-17 16:00:00,79.77,2.228,95.58
SENSOR-00002982,MCH-002-02-01,2026-01-17 20:00:00,76.44,2.987,97.66
SENSOR-00002983,MCH-002-02-01,2026-01-18 00:00:00,80.56,3.013,104.99
SENSOR-00002984,MCH-002-02-01,2026-01-18 04:00:00,75.75,2.979,101.65
SENSOR-00002985,MCH-002-02-01,2026-01-18 08:00:00,82.7,2.681,99.44
SENSOR-00002986,MCH-002-02-01,2026-01-18 12:00:00,82.54,2.942,104.7
SENSOR-00002987,MCH-002-02-01,2026-01-18 16:00:00,79.59,2.677,92.62
SENSOR-00002988,MCH-002-02-01,2026-01-18 20:00:00,72.35,2.605,96.7
SENSOR-00002989,MCH-002-02-01,2026-01-19 00:00:00,82.2,2.695,94.91
SENSOR-00002990,MCH-002-02-01,2026-01-19 04:00:00,77.87,2.699,100.86
SENSOR-00002991,MCH-002-02-01,2026-01-19 08:00:00,75.85,2.989,100.04
SENSOR-00002992,MCH-002-02-01,2026-01-19 12:00:00,75.12,2.589,105.79
SENSOR-00002993,MCH-002-02-01,2026-01-19 16:00:00,81.45,2.966,96.88
SENSOR-00002994,MCH-002-02-01,2026-01-19 20:00:00,76.04,2.533,100.55
SENSOR-00002995,MCH-002-02-01,2026-01-20 00:00:00,82.49,2.458,99.93
SENSOR-00002996,MCH-002-02-01,2026-01-20 04:00:00,74.64,2.236,99.54
SENSOR-00002997,MCH-002-02-01,2026-01-20 08:00:00,73.74,2.701,103.35
SENSOR-00002998,MCH-002-02-01,2026-01-20 12:00:00,86.21,2.727,103.06
SENSOR-00002999,MCH-002-02-01,2026-01-20 16:00:00,80.39,2.608,94.23
SENSOR-00003000,MCH-002-02-01,2026-01-20 20:00:00,85.3,2.441,104.15
SENSOR-00003001,MCH-002-02-01,2026-01-21 00:00:00,72.03,2.818,99.46
SENSOR-00003002,MCH-002-02-01,2026-01-21 04:00:00,78.95,2.766,103.6
SENSOR-00003003,MCH-002-02-01,2026-01-21 08:00:00,82.71,2.516,99.82
SENSOR-00003004,MCH-002-02-01,2026-01-21 12:00:00,77.0,2.283,99.67
SENSOR-00003005,MCH-002-02-01,2026-01-21 16:00:00,86.18,2.276,99.93
SENSOR-00003006,MCH-002-02-01,2026-01-21 20:00:00,78.57,2.776,97.11
SENSOR-00003007,MCH-002-02-01,2026-01-22 00:00:00,83.05,2.958,96.01
SENSOR-00003008,MCH-002-02-01,2026-01-22 04:00:00,75.94,2.779,105.79
SENSOR-00003009,MCH-002-02-01,2026-01-22 08:00:00,75.75,2.58,101.26
SENSOR-00003010,MCH-002-02-01,2026-01-22 12:00:00,81.28,2.874,97.46
SENSOR-00003011,MCH-002-02-01,2026-01-22 16:00:00,76.67,2.758,103.79
SENSOR-00003012,MCH-002-02-01,2026-01-22 20:00:00,77.84,2.698,96.92
SENSOR-00003013,MCH-002-02-01,2026-01-23 00:00:00,75.18,2.969,105.22
SENSOR-00003014,MCH-002-02-01,2026-01-23 04:00:00,76.31,2.872,100.57
SENSOR-00003015,MCH-002-02-01,2026-01-23 08:00:00,78.31,3.167,98.64
SENSOR-00003016,MCH-002-02-01,2026-01-23 12:00:00,83.76,2.799,99.95
SENSOR-00003017,MCH-002-02-01,2026-01-23 16:00:00,84.29,2.776,99.71
SENSOR-00003018,MCH-002-02-01,2026-01-23 20:00:00,84.31,3.016,103.61
SENSOR-00003019,MCH-002-02-01,2026-01-24 00:00:00,81.51,2.637,104.49
SENSOR-00003020,MCH-002-02-01,2026-01-24 04:00:00,81.91,2.839,101.48
SENSOR-00003021,MCH-002-02-01,2026-01-24 08:00:00,83.43,2.959,99.66
SENSOR-00003022,MCH-002-02-01,2026-01-24 12:00:00,82.76,2.747,105.75
SENSOR-00003023,MCH-002-02-01,2026-01-24 16:00:00,83.19,2.547,106.99
SENSOR-00003024,MCH-002-02-01,2026-01-24 20:00:00,70.39,2.863,97.91
SENSOR-00003025,MCH-002-02-01,2026-01-25 00:00:00,74.81,2.289,100.93
SENSOR-00003026,MCH-002-02-01,2026-01-25 04:00:00,80.92,2.886,101.65
SENSOR-00003027,MCH-002-02-01,2026-01-25 08:00:00,85.09,2.953,108.04
SENSOR-00003028,MCH-002-02-01,2026-01-25 12:00:00,91.2,2.264,93.41
SENSOR-00003029,MCH-002-02-01,2026-01-25 16:00:00,78.77,2.83,99.77
SENSOR-00003030,MCH-002-02-01,2026-01-25 20:00:00,81.61,2.636,97.92
SENSOR-00003031,MCH-002-02-01,2026-01-26 00:00:00,75.12,2.42,100.91
SENSOR-00003032,MCH-002-02-01,2026-01-26 04:00:00,80.41,2.488,104.03
SENSOR-00003033,MCH-002-02-01,2026-01-26 08:00:00,86.5,2.547,104.46
SENSOR-00003034,MCH-002-02-01,2026-01-26 12:00:00,69.27,2.973,97.43
SENSOR-00003035,MCH-002-02-01,2026-01-26 16:00:00,82.7,2.463,99.79
SENSOR-00003036,MCH-002-02-01,2026-01-26 20:00:00,75.56,2.65,105.49
SENSOR-00003037,MCH-002-02-01,2026-01-27 00:00:00,79.54,2.182,96.07
SENSOR-00003038,MCH-002-02-01,2026-01-27 04:00:00,74.75,2.937,102.42
SENSOR-00003039,MCH-002-02-01,2026-01-27 08:00:00,77.6,2.567,102.15
SENSOR-00003040,MCH-002-02-01,2026-01-27 12:00:00,74.28,2.818,101.12
SENSOR-00003041,MCH-002-02-01,2026-01-27 16:00:00,77.7,2.803,100.31
SENSOR-00003042,MCH-002-02-01,2026-01-27 20:00:00,80.79,2.37,101.84
SENSOR-00003043,MCH-002-02-01,2026-01-28 00:00:00,74.21,2.909,95.1
SENSOR-00003044,MCH-002-02-01,2026-01-28 04:00:00,79.93,2.608,98.66
SENSOR-00003045,MCH-002-02-01,2026-01-28 08:00:00,79.49,2.526,101.54
SENSOR-00003046,MCH-002-02-01,2026-01-28 12:00:00,79.02,2.549,104.01
SENSOR-00003047,MCH-002-02-01,2026-01-28 16:00:00,79.62,2.861,104.25
SENSOR-00003048,MCH-002-02-01,2026-01-28 20:00:00,84.4,2.849,99.09
SENSOR-00003049,MCH-002-02-01,2026-01-29 00:00:00,76.06,3.022,96.2
SENSOR-00003050,MCH-002-02-01,2026-01-29 04:00:00,78.57,2.665,97.52
SENSOR-00003051,MCH-002-02-01,2026-01-29 08:00:00,80.01,3.031,103.74
SENSOR-00003052,MCH-002-02-01,2026-01-29 12:00:00,81.69,2.28,95.99
SENSOR-00003053,MCH-002-02-01,2026-01-29 16:00:00,79.46,2.695,98.51
SENSOR-00003054,MCH-002-02-01,2026-01-29 20:00:00,86.42,2.73,101.63
SENSOR-00003055,MCH-002-02-01,2026-01-30 00:00:00,84.34,2.794,104.23
SENSOR-00003056,MCH-002-02-01,2026-01-30 04:00:00,78.56,2.832,100.9
SENSOR-00003057,MCH-002-02-01,2026-01-30 08:00:00,76.3,2.668,96.45
SENSOR-00003058,MCH-002-02-01,2026-01-30 12:00:00,80.77,2.894,102.97
SENSOR-00003059,MCH-002-02-01,2026-01-30 16:00:00,81.46,2.672,104.66
SENSOR-00003060,MCH-002-02-01,2026-01-30 20:00:00,82.37,3.051,104.35
SENSOR-00003061,MCH-002-02-02,2026-01-01 00:00:00,76.91,3.049,99.71
SENSOR-00003062,MCH-002-02-02,2026-01-01 04:00:00,87.38,3.515,101.37
SENSOR-00003063,MCH-002-02-02,2026-01-01 08:00:00,79.86,3.174,100.03
SENSOR-00003064,MCH-002-02-02,2026-01-01 12:00:00,81.69,2.797,98.61
SENSOR-00003065,MCH-002-02-02,2026-01-01 16:00:00,81.94,3.213,101.53
SENSOR-00003066,MCH-002-02-02,2026-01-01 20:00:00,89.95,3.181,101.27
SENSOR-00003067,MCH-002-02-02,2026-01-02 00:00:00,81.14,3.112,94.14
SENSOR-00003068,MCH-002-02-02,2026-01-02 04:00:00,83.78,3.331,99.64
SENSOR-00003069,MCH-002-02-02,2026-01-02 08:00:00,75.56,2.908,103.84
SENSOR-00003070,MCH-002-02-02,2026-01-02 12:00:00,83.68,2.657,107.1
SENSOR-00003071,MCH-002-02-02,2026-01-02 16:00:00,77.63,2.951,96.89
SENSOR-00003072,MCH-002-02-02,2026-01-02 20:00:00,78.51,2.899,101.91
SENSOR-00003073,MCH-002-02-02,2026-01-03 00:00:00,83.04,2.967,103.21
SENSOR-00003074,MCH-002-02-02,2026-01-03 04:00:00,91.56,3.057,99.98
SENSOR-00003075,MCH-002-02-02,2026-01-03 08:00:00,83.67,2.847,102.29
SENSOR-00003076,MCH-002-02-02,2026-01-03 12:00:00,84.41,2.907,102.71
SENSOR-00003077,MCH-002-02-02,2026-01-03 16:00:00,82.73,2.769,101.05
SENSOR-00003078,MCH-002-02-02,2026-01-03 20:00:00,83.6,3.252,102.49
SENSOR-00003079,MCH-002-02-02,2026-01-04 00:00:00,79.95,3.632,102.29
SENSOR-00003080,MCH-002-02-02,2026-01-04 04:00:00,78.14,3.058,102.32
SENSOR-00003081,MCH-002-02-02,2026-01-04 08:00:00,81.25,2.638,96.88
SENSOR-00003082,MCH-002-02-02,2026-01-04 12:00:00,84.82,2.573,95.65
SENSOR-00003083,MCH-002-02-02,2026-01-04 16:00:00,84.8,2.956,97.91
SENSOR-00003084,MCH-002-02-02,2026-01-04 20:00:00,80.67,2.644,101.45
SENSOR-00003085,MCH-002-02-02,2026-01-05 00:00:00,80.58,2.753,100.04
SENSOR-00003086,MCH-002-02-02,2026-01-05 04:00:00,84.57,3.036,104.91
SENSOR-00003087,MCH-002-02-02,2026-01-05 08:00:00,85.47,2.985,102.21
SENSOR-00003088,MCH-002-02-02,2026-01-05 12:00:00,82.84,3.023,103.89
SENSOR-00003089,MCH-002-02-02,2026-01-05 16:00:00,79.06,3.018,103.57
SENSOR-00003090,MCH-002-02-02,2026-01-05 20:00:00,83.89,2.92,94.88
SENSOR-00003091,MCH-002-02-02,2026-01-06 00:00:00,77.0,2.486,95.21
SENSOR-00003092,MCH-002-02-02,2026-01-06 04:00:00,86.73,2.765,101.6
SENSOR-00003093,MCH-002-02-02,2026-01-06 08:00:00,86.48,3.016,99.1
SENSOR-00003094,MCH-002-02-02,2026-01-06 12:00:00,83.18,2.908,103.61
SENSOR-00003095,MCH-002-02-02,2026-01-06 16:00:00,90.16,3.374,93.55
SENSOR-00003096,MCH-002-02-02,2026-01-06 20:00:00,80.9,3.013,101.39
SENSOR-00003097,MCH-002-02-02,2026-01-07 00:00:00,75.67,3.368,101.19
SENSOR-00003098,MCH-002-02-02,2026-01-07 04:00:00,81.31,2.882,104.39
SENSOR-00003099,MCH-002-02-02,2026-01-07 08:00:00,85.02,3.299,98.25
SENSOR-00003100,MCH-002-02-02,2026-01-07 12:00:00,82.85,3.112,98.35
SENSOR-00003101,MCH-002-02-02,2026-01-07 16:00:00,82.27,2.866,101.2
SENSOR-00003102,MCH-002-02-02,2026-01-07 20:00:00,77.36,3.155,100.93
SENSOR-00003103,MCH-002-02-02,2026-01-08 00:00:00,88.75,3.091,100.04
SENSOR-00003104,MCH-002-02-02,2026-01-08 04:00:00,78.92,3.197,98.17
SENSOR-00003105,MCH-002-02-02,2026-01-08 08:00:00,80.04,3.205,101.16
SENSOR-00003106,MCH-002-02-02,2026-01-08 12:00:00,72.64,2.972,100.38
SENSOR-00003107,MCH-002-02-02,2026-01-08 16:00:00,81.29,3.052,94.57
SENSOR-00003108,MCH-002-02-02,2026-01-08 20:00:00,71.33,2.768,100.85
SENSOR-00003109,MCH-002-02-02,2026-01-09 00:00:00,81.79,3.244,101.42
SENSOR-00003110,MCH-002-02-02,2026-01-09 04:00:00,83.8,2.977,98.96
SENSOR-00003111,MCH-002-02-02,2026-01-09 08:00:00,86.32,2.928,103.69
SENSOR-00003112,MCH-002-02-02,2026-01-09 12:00:00,78.46,3.37,101.42
SENSOR-00003113,MCH-002-02-02,2026-01-09 16:00:00,78.78,3.139,98.05
SENSOR-00003114,MCH-002-02-02,2026-01-09 20:00:00,82.78,2.89,99.6
SENSOR-00003115,MCH-002-02-02,2026-01-10 00:00:00,79.76,2.955,99.0
SENSOR-00003116,MCH-002-02-02,2026-01-10 04:00:00,87.67,3.258,100.11
SENSOR-00003117,MCH-002-02-02,2026-01-10 08:00:00,85.36,3.218,100.17
SENSOR-00003118,MCH-002-02-02,2026-01-10 12:00:00,84.26,3.16,101.46
SENSOR-00003119,MCH-002-02-02,2026-01-10 16:00:00,79.53,2.843,99.13
SENSOR-00003120,MCH-002-02-02,2026-01-10 20:00:00,79.82,2.644,102.03
SENSOR-00003121,MCH-002-02-02,2026-01-11 00:00:00,82.16,3.075,104.8
SENSOR-00003122,MCH-002-02-02,2026-01-11 04:00:00,76.25,3.231,92.46
SENSOR-00003123,MCH-002-02-02,2026-01-11 08:00:00,88.22,2.501,107.31
SENSOR-00003124,MCH-002-02-02,2026-01-11 12:00:00,81.09,3.335,103.25
SENSOR-00003125,MCH-002-02-02,2026-01-11 16:00:00,80.9,2.922,97.49
SENSOR-00003126,MCH-002-02-02,2026-01-11 20:00:00,85.8,2.906,97.54
SENSOR-00003127,MCH-002-02-02,2026-01-12 00:00:00,81.21,2.968,101.36
SENSOR-00003128,MCH-002-02-02,2026-01-12 04:00:00,78.51,3.119,100.77
SENSOR-00003129,MCH-002-02-02,2026-01-12 08:00:00,75.49,3.461,104.38
SENSOR-00003130,MCH-002-02-02,2026-01-12 12:00:00,79.45,2.731,100.68
SENSOR-00003131,MCH-002-02-02,2026-01-12 16:00:00,76.95,3.353,98.59
SENSOR-00003132,MCH-002-02-02,2026-01-12 20:00:00,89.14,2.806,99.66
SENSOR-00003133,MCH-002-02-02,2026-01-13 00:00:00,81.55,2.654,92.94
SENSOR-00003134,MCH-002-02-02,2026-01-13 04:00:00,94.12,3.144,100.41
SENSOR-00003135,MCH-002-02-02,2026-01-13 08:00:00,83.76,2.654,97.62
SENSOR-00003136,MCH-002-02-02,2026-01-13 12:00:00,89.62,3.177,97.71
SENSOR-00003137,MCH-002-02-02,2026-01-13 16:00:00,77.74,2.883,99.05
SENSOR-00003138,MCH-002-02-02,2026-01-13 20:00:00,90.85,2.965,96.43
SENSOR-00003139,MCH-002-02-02,2026-01-14 00:00:00,76.01,2.978,100.93
SENSOR-00003140,MCH-002-02-02,2026-01-14 04:00:00,79.06,3.497,102.38
SENSOR-00003141,MCH-002-02-02,2026-01-14 08:00:00,75.48,2.569,97.05
SENSOR-00003142,MCH-002-02-02,2026-01-14 12:00:00,88.94,3.235,104.87
SENSOR-00003143,MCH-002-02-02,2026-01-14 16:00:00,82.69,2.96,96.26
SENSOR-00003144,MCH-002-02-02,2026-01-14 20:00:00,84.05,2.963,99.3
SENSOR-00003145,MCH-002-02-02,2026-01-15 00:00:00,86.13,2.834,97.9
SENSOR-00003146,MCH-002-02-02,2026-01-15 04:00:00,82.83,2.983,104.18
SENSOR-00003147,MCH-002-02-02,2026-01-15 08:00:00,85.46,2.994,101.82
SENSOR-00003148,MCH-002-02-02,2026-01-15 12:00:00,74.46,2.858,100.86
SENSOR-00003149,MCH-002-02-02,2026-01-15 16:00:00,87.11,3.062,104.37
SENSOR-00003150,MCH-002-02-02,2026-01-15 20:00:00,86.12,2.89,99.58
SENSOR-00003151,MCH-002-02-02,2026-01-16 00:00:00,80.65,2.745,103.45
SENSOR-00003152,MCH-002-02-02,2026-01-16 04:00:00,84.25,3.264,102.28
SENSOR-00003153,MCH-002-02-02,2026-01-16 08:00:00,91.37,3.291,97.83
SENSOR-00003154,MCH-002-02-02,2026-01-16 12:00:00,84.53,2.873,98.64
SENSOR-00003155,MCH-002-02-02,2026-01-16 16:00:00,77.0,2.94,101.64
SENSOR-00003156,MCH-002-02-02,2026-01-16 20:00:00,82.39,2.737,95.43
SENSOR-00003157,MCH-002-02-02,2026-01-17 00:00:00,78.12,2.827,100.85
SENSOR-00003158,MCH-002-02-02,2026-01-17 04:00:00,74.37,2.989,103.44
SENSOR-00003159,MCH-002-02-02,2026-01-17 08:00:00,79.28,2.664,99.58
SENSOR-00003160,MCH-002-02-02,2026-01-17 12:00:00,81.3,2.863,96.43
SENSOR-00003161,MCH-002-02-02,2026-01-17 16:00:00,84.73,3.161,96.8
SENSOR-00003162,MCH-002-02-02,2026-01-17 20:00:00,78.94,3.046,97.11
SENSOR-00003163,MCH-002-02-02,2026-01-18 00:00:00,85.41,3.021,99.82
SENSOR-00003164,MCH-002-02-02,2026-01-18 04:00:00,90.9,3.312,102.5
SENSOR-00003165,MCH-002-02-02,2026-01-18 08:00:00,83.17,2.761,103.38
SENSOR-00003166,MCH-002-02-02,2026-01-18 12:00:00,83.23,2.868,99.27
SENSOR-00003167,MCH-002-02-02,2026-01-18 16:00:00,78.78,3.276,102.05
SENSOR-00003168,MCH-002-02-02,2026-01-18 20:00:00,83.38,3.001,97.96
SENSOR-00003169,MCH-002-02-02,2026-01-19 00:00:00,79.52,2.978,99.85
SENSOR-00003170,MCH-002-02-02,2026-01-19 04:00:00,87.02,3.038,100.4
SENSOR-00003171,MCH-002-02-02,2026-01-19 08:00:00,76.03,2.787,103.29
SENSOR-00003172,MCH-002-02-02,2026-01-19 12:00:00,74.35,3.348,101.5
SENSOR-00003173,MCH-002-02-02,2026-01-19 16:00:00,79.66,2.804,105.69
SENSOR-00003174,MCH-002-02-02,2026-01-19 20:00:00,88.29,2.982,100.4
SENSOR-00003175,MCH-002-02-02,2026-01-20 00:00:00,83.64,2.607,102.07
SENSOR-00003176,MCH-002-02-02,2026-01-20 04:00:00,78.41,3.024,98.99
SENSOR-00003177,MCH-002-02-02,2026-01-20 08:00:00,89.52,3.055,105.84
SENSOR-00003178,MCH-002-02-02,2026-01-20 12:00:00,84.89,3.368,99.37
SENSOR-00003179,MCH-002-02-02,2026-01-20 16:00:00,84.03,3.317,102.71
SENSOR-00003180,MCH-002-02-02,2026-01-20 20:00:00,84.77,2.93,99.52
SENSOR-00003181,MCH-002-02-02,2026-01-21 00:00:00,88.9,2.646,104.98
SENSOR-00003182,MCH-002-02-02,2026-01-21 04:00:00,83.92,2.494,104.78
SENSOR-00003183,MCH-002-02-02,2026-01-21 08:00:00,86.54,2.905,97.11
SENSOR-00003184,MCH-002-02-02,2026-01-21 12:00:00,76.37,3.616,97.23
SENSOR-00003185,MCH-002-02-02,2026-01-21 16:00:00,77.59,3.079,95.09
SENSOR-00003186,MCH-002-02-02,2026-01-21 20:00:00,78.72,3.261,101.39
SENSOR-00003187,MCH-002-02-02,2026-01-22 00:00:00,78.92,2.713,99.53
SENSOR-00003188,MCH-002-02-02,2026-01-22 04:00:00,91.27,2.755,99.52
SENSOR-00003189,MCH-002-02-02,2026-01-22 08:00:00,83.0,2.985,98.63
SENSOR-00003190,MCH-002-02-02,2026-01-22 12:00:00,87.27,3.126,102.54
SENSOR-00003191,MCH-002-02-02,2026-01-22 16:00:00,85.01,3.235,104.75
SENSOR-00003192,MCH-002-02-02,2026-01-22 20:00:00,87.97,3.593,103.65
SENSOR-00003193,MCH-002-02-02,2026-01-23 00:00:00,84.7,2.958,101.44
SENSOR-00003194,MCH-002-02-02,2026-01-23 04:00:00,77.01,3.21,100.62
SENSOR-00003195,MCH-002-02-02,2026-01-23 08:00:00,83.26,3.499,98.85
SENSOR-00003196,MCH-002-02-02,2026-01-23 12:00:00,84.02,3.037,100.59
SENSOR-00003197,MCH-002-02-02,2026-01-23 16:00:00,91.54,3.028,98.3
SENSOR-00003198,MCH-002-02-02,2026-01-23 20:00:00,90.13,2.935,95.18
SENSOR-00003199,MCH-002-02-02,2026-01-24 00:00:00,79.08,3.233,104.17
SENSOR-00003200,MCH-002-02-02,2026-01-24 04:00:00,84.23,3.118,96.21
SENSOR-00003201,MCH-002-02-02,2026-01-24 08:00:00,86.87,3.457,100.97
SENSOR-00003202,MCH-002-02-02,2026-01-24 12:00:00,80.27,2.971,98.74
SENSOR-00003203,MCH-002-02-02,2026-01-24 16:00:00,81.21,3.174,100.84
SENSOR-00003204,MCH-002-02-02,2026-01-24 20:00:00,86.66,3.105,97.41
SENSOR-00003205,MCH-002-02-02,2026-01-25 00:00:00,79.49,3.42,95.18
SENSOR-00003206,MCH-002-02-02,2026-01-25 04:00:00,84.19,2.793,99.97
SENSOR-00003207,MCH-002-02-02,2026-01-25 08:00:00,85.31,3.267,99.82
SENSOR-00003208,MCH-002-02-02,2026-01-25 12:00:00,85.69,2.846,100.74
SENSOR-00003209,MCH-002-02-02,2026-01-25 16:00:00,86.66,3.095,98.41
SENSOR-00003210,MCH-002-02-02,2026-01-25 20:00:00,81.53,3.266,96.72
SENSOR-00003211,MCH-002-02-02,2026-01-26 00:00:00,81.46,2.791,102.14
SENSOR-00003212,MCH-002-02-02,2026-01-26 04:00:00,83.09,3.258,98.17
SENSOR-00003213,MCH-002-02-02,2026-01-26 08:00:00,91.18,2.536,95.24
SENSOR-00003214,MCH-002-02-02,2026-01-26 12:00:00,89.66,3.13,101.02
SENSOR-00003215,MCH-002-02-02,2026-01-26 16:00:00,84.37,3.155,100.9
SENSOR-00003216,MCH-002-02-02,2026-01-26 20:00:00,78.79,3.216,101.98
SENSOR-00003217,MCH-002-02-02,2026-01-27 00:00:00,83.63,3.14,97.55
SENSOR-00003218,MCH-002-02-02,2026-01-27 04:00:00,81.95,2.82,99.4
SENSOR-00003219,MCH-002-02-02,2026-01-27 08:00:00,82.17,3.473,99.22
SENSOR-00003220,MCH-002-02-02,2026-01-27 12:00:00,74.15,3.361,101.35
SENSOR-00003221,MCH-002-02-02,2026-01-27 16:00:00,82.13,2.903,97.16
SENSOR-00003222,MCH-002-02-02,2026-01-27 20:00:00,90.4,3.025,94.79
SENSOR-00003223,MCH-002-02-02,2026-01-28 00:00:00,75.93,3.108,100.42
SENSOR-00003224,MCH-002-02-02,2026-01-28 04:00:00,80.85,2.757,96.81
SENSOR-00003225,MCH-002-02-02,2026-01-28 08:00:00,87.0,3.074,101.44
SENSOR-00003226,MCH-002-02-02,2026-01-28 12:00:00,83.63,3.094,98.59
SENSOR-00003227,MCH-002-02-02,2026-01-28 16:00:00,81.83,3.303,104.24
SENSOR-00003228,MCH-002-02-02,2026-01-28 20:00:00,77.76,2.96,102.52
SENSOR-00003229,MCH-002-02-02,2026-01-29 00:00:00,84.85,3.263,99.94
